M, N, D,N^1/2,lgN
100000,100,8.5,10,6.64385619
100000,120,8.6,10.95445115,6.906890596
100000,140,11.05,11.83215957,7.129283017
100000,160,14.05,12.64911064,7.321928095
100000,180,14.65,13.41640786,7.491853096
100000,200,15.7,14.14213562,7.64385619
100000,220,14.2,14.83239697,7.781359714
100000,240,17.3,15.49193338,7.906890596
100000,260,25.6,16.1245155,8.022367813
100000,280,29.5,16.73320053,8.129283017
100000,300,20.3,17.32050808,8.22881869
100000,320,18.35,17.88854382,8.321928095
100000,340,19.75,18.43908891,8.409390936
100000,360,19,18.97366596,8.491853096
100000,380,19.6,19.49358869,8.569855608
100000,400,23.7,20,8.64385619
100000,420,24.95,20.49390153,8.714245518
100000,440,21.35,20.97617696,8.781359714
100000,460,28.1,21.44761059,8.845490051
100000,480,27.8,21.9089023,8.906890596
100000,500,34.1,22.36067977,8.965784285
100000,520,29.7,22.8035085,9.022367813
100000,540,32.65,23.23790008,9.076815597
100000,560,29.95,23.66431913,9.129283017
100000,580,32.3,24.08318916,9.17990909
100000,600,29.4,24.49489743,9.22881869
100000,620,27.35,24.8997992,9.276124405
100000,640,31.55,25.29822128,9.321928095
100000,660,31.6,25.69046516,9.366322214
100000,680,30.45,26.07680962,9.409390936
100000,700,38.35,26.45751311,9.451211112
100000,720,32.3,26.83281573,9.491853096
100000,740,37.35,27.20294102,9.531381461
100000,760,34.25,27.5680975,9.569855608
100000,780,31.8,27.92848009,9.607330314
100000,800,30.1,28.28427125,9.64385619
100000,820,33.25,28.63564213,9.6794801
100000,840,40,28.98275349,9.714245518
100000,860,40.4,29.3257566,9.74819285
100000,880,54.5,29.66479395,9.781359714
100000,900,34.3,30,9.813781191
100000,920,28.95,30.33150178,9.845490051
100000,940,34.55,30.65941943,9.876516947
100000,960,53.9,30.98386677,9.906890596
100000,980,31.4,31.30495168,9.936637939
100000,1000,46.75,31.6227766,9.965784285
100000,1020,39.8,31.93743885,9.994353437
100000,1040,33.15,32.24903099,10.02236781
100000,1060,31.4,32.55764119,10.04984855
100000,1080,32.25,32.86335345,10.0768156
100000,1100,35.5,33.1662479,10.10328781
100000,1120,37.4,33.46640106,10.12928302
100000,1140,55.5,33.76388603,10.15481811
100000,1160,36.15,34.05877273,10.17990909
100000,1180,40.25,34.35112807,10.20457114
100000,1200,52,34.64101615,10.22881869
100000,1220,49.4,34.92849839,10.25266543
100000,1240,49.1,35.21363372,10.27612441
100000,1260,35.15,35.4964787,10.29920802
100000,1280,43.85,35.77708764,10.32192809
100000,1300,44.7,36.05551275,10.34429591
100000,1320,38.85,36.33180425,10.36632221
100000,1340,53.7,36.60601044,10.38801729
100000,1360,67.85,36.87817783,10.40939094
100000,1380,63.7,37.14835124,10.43045255
100000,1400,47.75,37.41657387,10.45121111
100000,1420,39.95,37.68288736,10.47167521
100000,1440,54.4,37.94733192,10.4918531
100000,1460,42.5,38.20994635,10.51175265
100000,1480,71.85,38.47076812,10.53138146
100000,1500,56.15,38.72983346,10.55074679
100000,1520,47.8,38.98717738,10.56985561
100000,1540,41.05,39.24283374,10.58871464
100000,1560,37.8,39.49683532,10.60733031
100000,1580,61.55,39.74921383,10.62570884
100000,1600,56.95,40,10.64385619
